Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
655.258203,1.80135e-011,1.80135e-011
655.265799,3.29622e-011,3.29622e-011
655.273394,2.54344e-011,2.54344e-011
655.28099,2.34718e-011,2.34718e-011
655.288585,4.65603e-011,4.65603e-011
655.296181,7.00829e-011,7.00829e-011
655.303776,9.62822e-011,9.62822e-011
655.311372,7.25315e-011,7.25315e-011
655.318967,4.46332e-012,4.46332e-012
655.326563,1.18121e-011,1.18121e-011
655.334158,2.19596e-011,2.19596e-011
655.341753,8.34245e-012,8.34245e-012
655.349349,2.7398e-011,2.7398e-011
655.356944,1.10917e-010,1.10917e-010
655.36454,2.13631e-010,2.13631e-010
655.372135,2.24829e-010,2.24829e-010
655.379731,1.43272e-010,1.43272e-010
655.387326,3.95331e-011,3.95331e-011
655.394922,7.86927e-011,7.86927e-011
655.402517,7.25401e-011,7.25401e-011
655.410113,8.43746e-011,8.43746e-011
655.417708,4.90012e-011,4.90012e-011
655.425304,2.23855e-008,2.23855e-008
655.432899,4.0166e-007,4.0166e-007
655.440495,1.26288e-006,1.26288e-006
655.44809,1.18815e-006,1.18815e-006
655.455686,3.47436e-007,3.47436e-007
655.463281,1.60422e-008,1.60422e-008
655.470877,1.82803e-011,1.82803e-011
655.478472,2.26469e-011,2.26469e-011
655.486068,2.3983e-011,2.3983e-011
655.493663,1.82719e-011,1.82719e-011
655.501259,3.65182e-012,3.65182e-012
655.508854,6.34894e-013,6.34894e-013
655.51645,1.36576e-012,1.36576e-012
655.524045,2.66919e-012,2.66919e-012
655.531641,5.05295e-012,5.05295e-012
655.539236,1.97546e-011,1.97546e-011
655.546832,6.95105e-012,6.95105e-012
655.554427,3.20596e-012,3.20596e-012
655.562023,1.63097e-012,1.63097e-012
655.569618,1.02134e-012,1.02134e-012
655.577214,1.29063e-011,1.29063e-011
655.584809,1.28037e-011,1.28037e-011
655.592405,2.11498e-011,2.11498e-011
655.6,4.87804e-011,4.87804e-011
655.607595,5.57159e-011,5.57159e-011
655.615191,4.58846e-011,4.58846e-011
655.622786,4.13497e-011,4.13497e-011
655.630382,3.642e-011,3.642e-011
655.637977,2.08885e-011,2.08885e-011
655.645573,1.12996e-011,1.12996e-011
655.653168,2.09617e-011,2.09617e-011
655.660764,2.92426e-011,2.92426e-011
655.668359,3.07745e-011,3.07745e-011
655.675955,2.11635e-011,2.11635e-011
655.68355,8.36403e-012,8.36403e-012
655.691146,1.51433e-011,1.51433e-011
655.698741,1.91077e-011,1.91077e-011
655.706337,1.01547e-011,1.01547e-011
655.713932,1.30677e-011,1.30677e-011
655.721528,3.40199e-011,3.40199e-011
655.729123,6.34354e-011,6.34354e-011
655.736719,7.13221e-011,7.13221e-011
655.744314,6.64094e-011,6.64094e-011
655.75191,4.66351e-011,4.66351e-011
655.759505,2.26659e-011,2.26659e-011
655.767101,1.97049e-011,1.97049e-011
655.774696,1.93763e-011,1.93763e-011
655.782292,1.41655e-011,1.41655e-011
655.789887,1.07558e-011,1.07558e-011
655.797483,6.82063e-011,6.82063e-011
655.805078,4.52486e-011,4.52486e-011
655.812674,4.84136e-011,4.84136e-011
655.820269,4.3768e-011,4.3768e-011
655.827865,8.53315e-012,8.53315e-012
655.83546,1.34244e-012,1.34244e-012
655.843056,6.22993e-012,6.22993e-012
655.850651,8.66738e-012,8.66738e-012
655.858247,1.28868e-011,1.28868e-011
655.865842,2.23181e-011,2.23181e-011
655.873437,3.38386e-011,3.38386e-011
655.881033,4.48612e-011,4.48612e-011
655.888628,4.39739e-011,4.39739e-011
655.896224,3.20857e-011,3.20857e-011
655.903819,2.28415e-011,2.28415e-011
655.911415,2.032e-011,2.032e-011
655.91901,8.89138e-012,8.89138e-012
655.926606,1.77447e-011,1.77447e-011
655.934201,1.52974e-011,1.52974e-011
655.941797,5.3335e-012,5.3335e-012
655.949392,1.0296e-011,1.0296e-011
655.956988,1.14866e-011,1.14866e-011
655.964583,1.98356e-011,1.98356e-011
655.972179,6.15049e-011,6.15049e-011
655.979774,5.5331e-011,5.5331e-011
655.98737,1.99755e-011,1.99755e-011
655.994965,1.80031e-011,1.80031e-011
656.002561,1.53694e-011,1.53694e-011
656.010156,1.38737e-012,1.38737e-012
656.017752,3.91069e-011,3.91069e-011
