Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
656.92921,3.84256e-011,3.84256e-011
656.936806,3.17924e-011,3.17924e-011
656.944401,3.27803e-011,3.27803e-011
656.951996,3.92652e-011,3.92652e-011
656.959592,6.16194e-011,6.16194e-011
656.967187,7.17728e-011,7.17728e-011
656.974783,2.73677e-011,2.73677e-011
656.982378,3.5821e-012,3.5821e-012
656.989974,1.43741e-012,1.43741e-012
656.997569,1.97924e-011,1.97924e-011
657.005165,1.22323e-010,1.22323e-010
657.01276,1.32667e-013,1.32667e-013
657.020356,1.36733e-012,1.36733e-012
657.027951,7.66919e-012,7.66919e-012
657.035547,2.78084e-011,2.78084e-011
657.043142,5.26452e-011,5.26452e-011
657.050738,5.66619e-011,5.66619e-011
657.058333,3.45757e-011,3.45757e-011
657.065929,2.20021e-011,2.20021e-011
657.073524,1.94078e-011,1.94078e-011
657.08112,1.49025e-011,1.49025e-011
657.088715,4.57392e-012,4.57392e-012
657.096311,1.50169e-012,1.50169e-012
657.103906,1.13277e-011,1.13277e-011
657.111502,3.52767e-011,3.52767e-011
657.119097,4.88226e-011,4.88226e-011
657.126693,4.17155e-011,4.17155e-011
657.134288,2.20036e-011,2.20036e-011
657.141884,9.49566e-012,9.49566e-012
657.149479,1.69399e-011,1.69399e-011
657.157075,6.8795e-012,6.8795e-012
657.16467,2.96228e-012,2.96228e-012
657.172266,3.86471e-011,3.86471e-011
657.179861,2.85587e-011,2.85587e-011
657.187457,1.05736e-011,1.05736e-011
657.195052,9.39382e-012,9.39382e-012
657.202648,4.60213e-011,4.60213e-011
657.210243,6.03671e-011,6.03671e-011
657.217839,4.23086e-011,4.23086e-011
657.225434,1.41841e-011,1.41841e-011
657.233029,3.77812e-012,3.77812e-012
657.240625,5.50697e-012,5.50697e-012
657.24822,2.1359e-012,2.1359e-012
657.255816,5.57345e-012,5.57345e-012
657.263411,2.15971e-011,2.15971e-011
657.271007,5.0333e-011,5.0333e-011
657.278602,9.18109e-011,9.18109e-011
657.286198,4.45863e-011,4.45863e-011
657.293793,1.68174e-012,1.68174e-012
657.301389,3.05938e-012,3.05938e-012
657.308984,6.88053e-012,6.88053e-012
657.31658,2.00583e-012,2.00583e-012
657.324175,2.92474e-011,2.92474e-011
657.331771,1.13101e-010,1.13101e-010
657.339366,1.60629e-010,1.60629e-010
657.346962,9.22904e-011,9.22904e-011
657.354557,3.09444e-011,3.09444e-011
657.362153,7.85472e-012,7.85472e-012
657.369748,1.62311e-011,1.62311e-011
657.377344,3.18498e-011,3.18498e-011
657.384939,1.58054e-011,1.58054e-011
657.392535,4.15407e-011,4.15407e-011
657.40013,5.28628e-011,5.28628e-011
657.407726,4.70652e-011,4.70652e-011
657.415321,1.68252e-011,1.68252e-011
657.422917,1.03704e-011,1.03704e-011
657.430512,1.47904e-011,1.47904e-011
657.438108,1.39634e-011,1.39634e-011
657.445703,4.54917e-012,4.54917e-012
657.453299,1.04728e-011,1.04728e-011
657.460894,1.5244e-011,1.5244e-011
