Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1306.23264,4.34594e-012,4.34594e-012
1306.24023,2.76282e-012,2.76282e-012
1306.24783,1.86027e-012,1.86027e-012
1306.25543,1.96085e-012,1.96085e-012
1306.26302,1.07869e-012,1.07869e-012
1306.27062,2.44441e-012,2.44441e-012
1306.27821,1.1892e-012,1.1892e-012
1306.28581,1.19314e-012,1.19314e-012
1306.2934,2.02337e-012,2.02337e-012
1306.301,3.27001e-012,3.27001e-012
1306.30859,3.02561e-012,3.02561e-012
1306.31619,1.48869e-012,1.48869e-012
1306.32378,1.40666e-012,1.40666e-012
1306.33138,1.44584e-012,1.44584e-012
1306.33898,1.33358e-012,1.33358e-012
1306.34657,2.07282e-012,2.07282e-012
1306.35417,1.88845e-012,1.88845e-012
1306.36176,3.1661e-012,3.1661e-012
1306.36936,2.13874e-012,2.13874e-012
1306.37695,2.28554e-012,2.28554e-012
1306.38455,2.87479e-012,2.87479e-012
1306.39214,3.93974e-012,3.93974e-012
1306.39974,4.03769e-012,4.03769e-012
1306.40734,4.35286e-012,4.35286e-012
1306.41493,3.24309e-012,3.24309e-012
1306.42253,3.87265e-012,3.87265e-012
1306.43012,5.2886e-012,5.2886e-012
1306.43772,3.92333e-012,3.92333e-012
1306.44531,4.52644e-012,4.52644e-012
1306.45291,4.64676e-012,4.64676e-012
1306.4605,6.00735e-012,6.00735e-012
1306.4681,5.03511e-012,5.03511e-012
1306.47569,3.68821e-012,3.68821e-012
1306.48329,3.47884e-012,3.47884e-012
1306.49089,3.67217e-012,3.67217e-012
1306.49848,4.02308e-012,4.02308e-012
1306.50608,2.30975e-012,2.30975e-012
1306.51367,1.58258e-012,1.58258e-012
1306.52127,4.7423e-012,4.7423e-012
1306.52886,2.51834e-012,2.51834e-012
1306.53646,8.68159e-013,8.68159e-013
1306.54405,2.46714e-012,2.46714e-012
1306.55165,4.22651e-012,4.22651e-012
1306.55924,2.96099e-012,2.96099e-012
1306.56684,2.25566e-012,2.25566e-012
1306.57444,2.3734e-012,2.3734e-012
1306.58203,3.25282e-012,3.25282e-012
1306.58963,4.45588e-012,4.45588e-012
1306.59722,5.14467e-012,5.14467e-012
1306.60482,4.29899e-012,4.29899e-012
1306.61241,8.86259e-012,8.86259e-012
1306.62001,7.03094e-012,7.03094e-012
1306.6276,3.46898e-012,3.46898e-012
1306.6352,3.97721e-012,3.97721e-012
1306.6428,4.53091e-012,4.53091e-012
1306.65039,2.83936e-011,2.83936e-011
1306.65799,8.64852e-011,8.64852e-011
1306.66558,9.73682e-011,9.73682e-011
1306.67318,9.03115e-011,9.03115e-011
1306.68077,4.30209e-011,4.30209e-011
1306.68837,8.86915e-012,8.86915e-012
1306.69596,7.67817e-012,7.67817e-012
1306.70356,9.40745e-012,9.40745e-012
1306.71115,7.63032e-012,7.63032e-012
1306.71875,4.72682e-012,4.72682e-012
1306.72635,5.1461e-012,5.1461e-012
1306.73394,4.7158e-012,4.7158e-012
1306.74154,2.39441e-012,2.39441e-012
1306.74913,1.77264e-012,1.77264e-012
1306.75673,1.44019e-012,1.44019e-012
1306.76432,2.01292e-012,2.01292e-012
1306.77192,2.35605e-012,2.35605e-012
1306.77951,1.93836e-012,1.93836e-012
1306.78711,1.11647e-012,1.11647e-012
1306.7947,2.92773e-012,2.92773e-012
1306.8023,4.42923e-012,4.42923e-012
1306.8099,4.47437e-012,4.47437e-012
1306.81749,5.14241e-012,5.14241e-012
1306.82509,2.13805e-012,2.13805e-012
1306.83268,2.17936e-012,2.17936e-012
1306.84028,1.29099e-012,1.29099e-012
1306.84787,2.225e-012,2.225e-012
1306.85547,1.88637e-012,1.88637e-012
1306.86306,1.98457e-012,1.98457e-012
1306.87066,2.74903e-012,2.74903e-012
1306.87826,3.53777e-012,3.53777e-012
1306.88585,5.78374e-012,5.78374e-012
1306.89345,6.357e-012,6.357e-012
