Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
657.590017,1.08964e-011,1.08964e-011
657.597613,8.22105e-012,8.22105e-012
657.605208,5.33856e-011,5.33856e-011
657.612804,3.70006e-011,3.70006e-011
657.620399,2.10166e-011,2.10166e-011
657.627995,1.00199e-011,1.00199e-011
657.63559,9.53637e-012,9.53637e-012
657.643186,4.83098e-011,4.83098e-011
657.650781,6.8356e-011,6.8356e-011
657.658377,6.94635e-011,6.94635e-011
657.665972,4.47084e-011,4.47084e-011
657.673568,1.39349e-011,1.39349e-011
657.681163,3.1513e-012,3.1513e-012
657.688759,8.12418e-013,8.12418e-013
657.696354,1.16526e-011,1.16526e-011
657.70395,2.34798e-011,2.34798e-011
657.711545,2.27839e-011,2.27839e-011
657.719141,3.10977e-011,3.10977e-011
657.726736,3.16114e-011,3.16114e-011
657.734332,8.61164e-012,8.61164e-012
657.741927,1.12908e-012,1.12908e-012
657.749523,4.38176e-012,4.38176e-012
657.757118,1.73743e-011,1.73743e-011
657.764713,2.78727e-011,2.78727e-011
657.772309,1.91099e-011,1.91099e-011
657.779904,6.88554e-012,6.88554e-012
657.7875,8.0175e-012,8.0175e-012
657.795095,2.83411e-012,2.83411e-012
657.802691,1.4247e-011,1.4247e-011
657.810286,4.93614e-011,4.93614e-011
657.817882,4.4486e-011,4.4486e-011
657.825477,1.57155e-011,1.57155e-011
657.833073,3.74383e-012,3.74383e-012
657.840668,1.86986e-011,1.86986e-011
657.848264,2.84044e-011,2.84044e-011
657.855859,2.66139e-011,2.66139e-011
657.863455,1.95371e-011,1.95371e-011
657.87105,1.0707e-011,1.0707e-011
657.878646,1.00418e-011,1.00418e-011
657.886241,1.09508e-011,1.09508e-011
657.893837,6.09734e-012,6.09734e-012
657.901432,3.04607e-012,3.04607e-012
657.909028,1.13198e-012,1.13198e-012
657.916623,8.26104e-012,8.26104e-012
657.924219,2.81171e-011,2.81171e-011
657.931814,2.81748e-011,2.81748e-011
657.93941,1.97457e-011,1.97457e-011
